idClass,idSubject,idTeacher,location
12454,134099,5022,C2
12455,134099,5023,D5
12456,134099,5023,TC
12457,134099,5023,B1
12458,134099,5023,C2
12459,134099,5023,C1
12460,134099,5024,D9
12461,134099,5024,D5
12462,134099,5024,D9
12463,134099,5024,B7
12464,134099,5024,B7
12465,134099,5025,TC
12466,134099,5025,C2
12467,134099,5025,D6
12468,134099,5025,D3
12469,134099,5025,B9
12470,134100,5026,B7
12471,134100,5026,D3
12472,134100,5026,TC
12473,134100,5026,D3
12474,134100,5026,B7
12475,134100,5027,D9
12476,134100,5027,C1
12477,134100,5027,D9
12478,134100,5027,B9
12479,134100,5027,C1
12480,134100,5028,B1
12481,134100,5028,C2
12482,134100,5028,B7
12483,134100,5028,B9
12484,134100,5028,TC
12485,134100,5029,D9
12486,134100,5029,C1
12487,134100,5029,B1
12488,134100,5029,D5
12489,134100,5029,C1
12490,134100,5030,TC
12491,134100,5030,C2
12492,134100,5030,D3
12493,134100,5030,C1
12494,134100,5030,B9
12495,131622,5031,B9
12496,131622,5031,D4
12497,131622,5031,D6
12498,131622,5031,B7
12499,131622,5031,TC
12500,131622,5032,B9
12501,131622,5032,C1
12502,131622,5032,D5
12503,131622,5032,C1
12504,131622,5032,D6
12505,131622,5033,D9
12506,131622,5033,TC
12507,131622,5033,TC
12508,131622,5033,D6
12509,131622,5033,C1
12510,131622,5034,D6
12511,131622,5034,TC
12512,131622,5034,D9
12513,131622,5034,C1
12514,131622,5034,D6
12515,131622,5035,D4
12516,131622,5035,C2
12517,131622,5035,D9
12518,131622,5035,D9
12519,131622,5035,C1
12520,133705,5036,D4
12521,133705,5036,D9
12522,133705,5036,D5
12523,133705,5036,B1
12524,133705,5036,C1
12525,133705,5037,B7
12526,133705,5037,D3
12527,133705,5037,D9
12528,133705,5037,D4
12529,133705,5037,C1
12530,133705,5038,TC
12531,133705,5038,D3
12532,133705,5038,C2
12533,133705,5038,D9
12534,133705,5038,C1
12535,133705,5039,D4
12536,133705,5039,C1
12537,133705,5039,D4
12538,133705,5039,C2
12539,133705,5039,D4
12540,133705,5040,D4
12541,133705,5040,C2
12542,133705,5040,C1
12543,133705,5040,D5
12544,133705,5040,B1
12545,132027,5041,D3
12546,132027,5041,D6
12547,132027,5041,D4
12548,132027,5041,B7
12549,132027,5041,D3
12550,132027,5042,D9
12551,132027,5042,TC
12552,132027,5042,C2
12553,132027,5042,TC
12554,132027,5042,D6
12555,132027,5043,B9
12556,132027,5043,D6
12557,132027,5043,D4
12558,132027,5043,B1
12559,132027,5043,D6
12560,132027,5044,D5
12561,132027,5044,D6
12562,132027,5044,B7
12563,132027,5044,D6
12564,132027,5044,D9
12565,132027,5045,B7
12566,132027,5045,TC
12567,132027,5045,B9
12568,132027,5045,D5
12569,132027,5045,C2
12570,131653,5046,TC
12571,131653,5046,C1
12572,131653,5046,C2
12573,131653,5046,B9
12574,131653,5046,D4
12575,131653,5047,D9
12576,131653,5047,B9
12577,131653,5047,TC
12578,131653,5047,TC
12579,131653,5047,D9
12580,131653,5048,B1
12581,131653,5048,D5
12582,131653,5048,D9
12583,131653,5048,TC
12584,131653,5048,B9
12585,131653,5049,C1
12586,131653,5049,B7
12587,131653,5049,D6
12588,131653,5049,D9
12589,131653,5049,C1
12590,131653,5050,B1
12591,131653,5050,TC
12592,131653,5050,D5
12593,131653,5050,B9
12594,131653,5050,D9
12595,132043,5051,D5
12596,132043,5051,D3
12597,132043,5051,C1
12598,132043,5051,D6
12599,132043,5051,C2
12600,132043,5052,D6
12601,132043,5052,D5
12602,132043,5052,C2
12603,132043,5052,C2
12604,132043,5052,D5
12605,132043,5053,C1
12606,132043,5053,C2
12607,132043,5053,D4
12608,132043,5053,D5
12609,132043,5053,B7
12610,132043,5054,B1
12611,132043,5054,D9
12612,132043,5054,D3
12613,132043,5054,D5
12614,132043,5054,B1
12615,132043,5055,D4
12616,132043,5055,D3
12617,132043,5055,D4
12618,132043,5055,D9
12619,132043,5055,D4
12620,133665,5056,D4
12621,133665,5056,C2
12622,133665,5056,TC
12623,133665,5056,C2
12624,133665,5056,D4
12625,133665,5057,B9
12626,133665,5057,B7
12627,133665,5057,B1
12628,133665,5057,D6
12629,133665,5057,C1
12630,133665,5058,TC
12631,133665,5058,D5
12632,133665,5058,B7
12633,133665,5058,B9
12634,133665,5058,D3
12635,133665,5059,C2
12636,133665,5059,D3
12637,133665,5059,B9
12638,133665,5059,C2
12639,133665,5059,D5
12640,133665,5060,C1
12641,133665,5060,B7
12642,133665,5060,D5
12643,133665,5060,D9
12644,133665,5060,B1
12645,716641,5061,TC
12646,716641,5061,D6
12647,716641,5061,D6
12648,716641,5061,B1
12649,716641,5061,D6
12650,716641,5062,B7
12651,716641,5062,D9
12652,716641,5062,D9
12653,716641,5062,D9
12654,716641,5062,D6
12655,716641,5063,C1
12656,716641,5063,D9
12657,716641,5063,B9
12658,716641,5063,D6
12659,716641,5063,B9
12660,716641,5064,D9
12661,716641,5064,B9
12662,716641,5064,D3
12663,716641,5064,D9
12664,716641,5064,D5
12665,716641,5065,D5
12666,716641,5065,TC
12667,716641,5065,D9
12668,716641,5065,D3
12669,716641,5065,D6
12670,716648,5066,D3
12671,716648,5066,TC
12672,716648,5066,D9
12673,716648,5066,D6
12674,716648,5066,C2
12675,716648,5067,B7
12676,716648,5067,D5
12677,716648,5067,D6
12678,716648,5067,D3
12679,716648,5067,B1
12680,716648,5068,D4
12681,716648,5068,D3
12682,716648,5068,C1
12683,716648,5068,B7
12684,716648,5068,B7
12685,716648,5069,TC
12686,716648,5069,C1
12687,716648,5069,B1
12688,716648,5069,D9
12689,716648,5069,B7
12690,716648,5070,C1
12691,716648,5070,D9
12692,716648,5070,D6
12693,716648,5070,D6
12694,716648,5070,D9
12695,716657,5071,D6
12696,716657,5071,B9
12697,716657,5071,B7
12698,716657,5071,C1
12699,716657,5071,B7
12700,716657,5072,D5
12701,716657,5072,D9
12702,716657,5072,D6
12703,716657,5072,D3
12704,716657,5072,D3
12705,716657,5073,B7
12706,716657,5073,TC
12707,716657,5073,B7
12708,716657,5073,D9
12709,716657,5073,D4
12710,716657,5074,C2
12711,716657,5074,TC
12712,716657,5074,D4
12713,716657,5074,D6
12714,716657,5074,TC
12715,716657,5075,C1
12716,716657,5075,C2
12717,716657,5075,D3
12718,716657,5075,B9
12719,716657,5075,C1
12720,133678,5076,TC
12721,133678,5076,D3
12722,133678,5076,B7
12723,133678,5076,C1
12724,133678,5076,B1
12725,133678,5077,TC
12726,133678,5077,C2
12727,133678,5077,D9
12728,133678,5077,D4
12729,133678,5077,D5
12730,133678,5078,D6
12731,133678,5078,D9
12732,133678,5078,TC
12733,133678,5078,D4
12734,133678,5078,D9
12735,133678,5079,D9
12736,133678,5079,B9
12737,133678,5079,D9
12738,133678,5079,C2
12739,133678,5079,D6
12740,133678,5080,C2
12741,133678,5080,D6
12742,133678,5080,D9
12743,133678,5080,B1
12744,133678,5080,B7
12745,131655,5081,D6
12746,131655,5081,B7
12747,131655,5081,D4
12748,131655,5081,D3
12749,131655,5081,D6
12750,131655,5082,B7
12751,131655,5082,B7
12752,131655,5082,B9
12753,131655,5082,B1
12754,131655,5082,B7
12755,131655,5083,C1
12756,131655,5083,D9
12757,131655,5083,D6
12758,131655,5083,TC
12759,131655,5083,B1
12760,131655,5084,C2
12761,131655,5084,B1
12762,131655,5084,D4
12763,131655,5084,TC
12764,131655,5084,D5
12765,131655,5085,C1
12766,131655,5085,B1
12767,131655,5085,TC
12768,131655,5085,D5
12769,131655,5085,D5
12770,716631,5086,C2
12771,716631,5086,D9
12772,716631,5086,D3
12773,716631,5086,C2
12774,716631,5086,D5
12775,716631,5087,B1
12776,716631,5087,B7
12777,716631,5087,D5
12778,716631,5087,D5
12779,716631,5087,B9
12780,716631,5088,D3
12781,716631,5088,D3
12782,716631,5088,D4
12783,716631,5088,B1
12784,716631,5088,C1
12785,716631,5089,D5
12786,716631,5089,B1
12787,716631,5089,D3
12788,716631,5089,B1
12789,716631,5089,C2
12790,716631,5090,D5
12791,716631,5090,C2
12792,716631,5090,B1
12793,716631,5090,B9
12794,716631,5090,D3
12795,716639,5091,D3
12796,716639,5091,D4
12797,716639,5091,D6
12798,716639,5091,TC
12799,716639,5091,D9
12800,716639,5092,B1
12801,716639,5092,C1
12802,716639,5092,D6
12803,716639,5092,D4
12804,716639,5092,B9
12805,716639,5093,D6
12806,716639,5093,B7
12807,716639,5093,B9
12808,716639,5093,D5
12809,716639,5093,C2
12810,716639,5094,B7
12811,716639,5094,D9
12812,716639,5094,C1
12813,716639,5094,B7
12814,716639,5094,B1
12815,716639,5095,B7
12816,716639,5095,B1
12817,716639,5095,D5
12818,716639,5095,TC
12819,716639,5095,D4
12820,133689,5096,D3
12821,133689,5096,TC
12822,133689,5096,D3
12823,133689,5096,D6
12824,133689,5096,C2
12825,133689,5097,D5
12826,133689,5097,TC
12827,133689,5097,D5
12828,133689,5097,D5
12829,133689,5097,B1
12830,133689,5098,C1
12831,133689,5098,C1
12832,133689,5098,D6
12833,133689,5098,D9
12834,133689,5098,C1
12835,133689,5099,D6
12836,133689,5099,B9
12837,133689,5099,D4
12838,133689,5099,D5
12839,133689,5099,D3
12840,133689,5100,B9
12841,133689,5100,B9
12842,133689,5100,D9
12843,133689,5100,TC
12844,133689,5100,B1
12845,131656,5101,TC
12846,131656,5101,D5
12847,131656,5101,B1
12848,131656,5101,B1
12849,131656,5101,B9
12850,131656,5102,B7
12851,131656,5102,D5
12852,131656,5102,D6
12853,131656,5102,B9
12854,131656,5102,D5
12855,131656,5103,D4
12856,131656,5103,D5
12857,131656,5103,D3
12858,131656,5103,TC
12859,131656,5103,D3
12860,131656,5104,B1
12861,131656,5104,D9
12862,131656,5104,B1
12863,131656,5104,C1
12864,131656,5104,C2
12865,131656,5105,B7
12866,131656,5105,C2
12867,131656,5105,D6
12868,131656,5105,D4
12869,131656,5105,B7
12870,133691,5106,B9
12871,133691,5106,D3
12872,133691,5106,D4
12873,133691,5106,B9
12874,133691,5106,D4
12875,133691,5107,D9
12876,133691,5107,B7
12877,133691,5107,D3
12878,133691,5107,D4
12879,133691,5107,B1
12880,133691,5108,D9
12881,133691,5108,D5
12882,133691,5108,D3
12883,133691,5108,C2
12884,133691,5108,D5
12885,133691,5109,C2
12886,133691,5109,D3
12887,133691,5109,D4
12888,133691,5109,D4
12889,133691,5109,B9
12890,133691,5110,TC
12891,133691,5110,D3
12892,133691,5110,D6
12893,133691,5110,TC
12894,133691,5110,D5
12895,133693,5111,TC
12896,133693,5111,C1
12897,133693,5111,C2
12898,133693,5111,B9
12899,133693,5111,D9
12900,133693,5112,D3
12901,133693,5112,D6
12902,133693,5112,D6
12903,133693,5112,TC
12904,133693,5112,B1
12905,133693,5113,D3
12906,133693,5113,B7
12907,133693,5113,B7
12908,133693,5113,C2
12909,133693,5113,B7
12910,133693,5114,B1
12911,133693,5114,D5
12912,133693,5114,B1
12913,133693,5114,D4
12914,133693,5114,C2
12915,133693,5115,D9
12916,133693,5115,D6
12917,133693,5115,D9
12918,133693,5115,B7
12919,133693,5115,D5
12920,131560,5116,D5
12921,131560,5116,B1
12922,131560,5116,B9
12923,131560,5116,TC
12924,131560,5116,D3
12925,131560,5117,D6
12926,131560,5117,B7
12927,131560,5117,B9
12928,131560,5117,D4
12929,131560,5117,D6
12930,131560,5118,D3
12931,131560,5118,B1
12932,131560,5118,D4
12933,131560,5118,B1
12934,131560,5118,B9
12935,131560,5119,D9
12936,131560,5119,B1
12937,131560,5119,D9
12938,131560,5119,TC
12939,131560,5119,D4
12940,131560,5120,D5
12941,131560,5120,B1
12942,131560,5120,D3
12943,131560,5120,D6
12944,131560,5120,D4
12945,131558,5121,D5
12946,131558,5121,B7
12947,131558,5121,D3
12948,131558,5121,D9
12949,131558,5121,D9
12950,131558,5122,C2
12951,131558,5122,D3
12952,131558,5122,B1
12953,131558,5122,D3
12954,131558,5122,D9
12955,131558,5123,C2
12956,131558,5123,B1
12957,131558,5123,B7
12958,131558,5123,D9
12959,131558,5123,B9
12960,131558,5124,B7
12961,131558,5124,TC
12962,131558,5124,D5
12963,131558,5124,D3
12964,131558,5124,D4
12965,131558,5125,D3
12966,131558,5125,C1
12967,131558,5125,D9
12968,131558,5125,B7
12969,131558,5125,B1
12970,133695,5126,C1
12971,133695,5126,D5
12972,133695,5126,D9
12973,133695,5126,D3
12974,133695,5126,B9
12975,133695,5127,C1
12976,133695,5127,D9
12977,133695,5127,D5
12978,133695,5127,B7
12979,133695,5127,C1
12980,133695,5128,TC
12981,133695,5128,D3
12982,133695,5128,B9
12983,133695,5128,TC
12984,133695,5128,D5
12985,133695,5129,D4
12986,133695,5129,D3
12987,133695,5129,D9
12988,133695,5129,C1
12989,133695,5129,TC
12990,133695,5130,C2
12991,133695,5130,D4
12992,133695,5130,D5
12993,133695,5130,D6
12994,133695,5130,B9
12995,131559,5131,C2
12996,131559,5131,D6
12997,131559,5131,D4
12998,131559,5131,B9
12999,131559,5131,C1
13000,131559,5132,B9
13001,131559,5132,C1
13002,131559,5132,D3
13003,131559,5132,B1
13004,131559,5132,D6
13005,131559,5133,D9
13006,131559,5133,C1
13007,131559,5133,B1
13008,131559,5133,B9
13009,131559,5133,C1
13010,131559,5134,C1
13011,131559,5134,D3
13012,131559,5134,B9
13013,131559,5134,D9
13014,131559,5134,D5
13015,131559,5135,B1
13016,131559,5135,B7
13017,131559,5135,B1
13018,131559,5135,B7
13019,131559,5135,B9
13020,133701,5136,C2
13021,133701,5136,D6
13022,133701,5136,D9
13023,133701,5136,D6
13024,133701,5136,C1
13025,133701,5137,C2
13026,133701,5137,D9
13027,133701,5137,B1
13028,133701,5137,B1
13029,133701,5137,C2
13030,133701,5138,B9
13031,133701,5138,D4
13032,133701,5138,D5
13033,133701,5138,D6
13034,133701,5138,TC
13035,133701,5139,B9
13036,133701,5139,D6
13037,133701,5139,TC
13038,133701,5139,D9
13039,133701,5139,D6
13040,133701,5140,D9
13041,133701,5140,D3
13042,133701,5140,TC
13043,133701,5140,B9
13044,133701,5140,C1
13045,131654,5141,C1
13046,131654,5141,C2
13047,131654,5141,B1
13048,131654,5141,B9
13049,131654,5141,D3
13050,131654,5142,D6
13051,131654,5142,D5
13052,131654,5142,D5
13053,131654,5142,D9
13054,131654,5142,D9
13055,131654,5143,B1
13056,131654,5143,D5
13057,131654,5143,B9
13058,131654,5143,C1
13059,131654,5143,D9
13060,131654,5144,C2
13061,131654,5144,C1
13062,131654,5144,D4
13063,131654,5144,D9
13064,131654,5144,B9
13065,131654,5145,B1
13066,131654,5145,D4
13067,131654,5145,D6
13068,131654,5145,B9
13069,131654,5145,D4
13070,133672,5146,C1
13071,133672,5146,C2
13072,133672,5146,D5
13073,133672,5146,B7
13074,133672,5146,B9
13075,133672,5147,C1
13076,133672,5147,C2
13077,133672,5147,B7
13078,133672,5147,D6
13079,133672,5147,D9
13080,133672,5148,D9
13081,133672,5148,D5
13082,133672,5148,TC
13083,133672,5148,B7
13084,133672,5148,D3
13085,133672,5149,B1
13086,133672,5149,B1
13087,133672,5149,B9
13088,133672,5149,TC
13089,133672,5149,D9
13090,133672,5150,C2
13091,133672,5150,B7
13092,133672,5150,TC
13093,133672,5150,B7
13094,133672,5150,D5
13095,133698,5151,D4
13096,133698,5151,TC
13097,133698,5151,B9
13098,133698,5151,C1
13099,133698,5151,B9
13100,133698,5152,D3
13101,133698,5152,C2
13102,133698,5152,C2
13103,133698,5152,D4
13104,133698,5152,D6
13105,133698,5153,C2
13106,133698,5153,C1
13107,133698,5153,B9
13108,133698,5153,D9
13109,133698,5153,TC
13110,133698,5154,B9
13111,133698,5154,C1
13112,133698,5154,C2
13113,133698,5154,D9
13114,133698,5154,D3
13115,133698,5155,D6
13116,133698,5155,D9
13117,133698,5155,D3
13118,133698,5155,C1
13119,133698,5155,C1
13120,131556,5156,D6
13121,131556,5156,D5
13122,131556,5156,D5
13123,131556,5156,D5
13124,131556,5156,C1
13125,131556,5157,D6
13126,131556,5157,D3
13127,131556,5157,D3
13128,131556,5157,C2
13129,131556,5157,D3
13130,131556,5158,C2
13131,131556,5158,D6
13132,131556,5158,D4
13133,131556,5158,B9
13134,131556,5158,D3
13135,131556,5159,D3
13136,131556,5159,TC
13137,131556,5159,D6
13138,131556,5159,B7
13139,131556,5159,D6
13140,131556,5160,TC
13141,131556,5160,D5
13142,131556,5160,D9
13143,131556,5160,B7
13144,131556,5160,C1
13145,716453,5161,D6
13146,716453,5161,C2
13147,716453,5161,C1
13148,716453,5161,D4
13149,716453,5161,D6
13150,716453,5162,D9
13151,716453,5162,TC
13152,716453,5162,B1
13153,716453,5162,B1
13154,716453,5162,C2
13155,716453,5163,B7
13156,716453,5163,C2
13157,716453,5163,D6
13158,716453,5163,D9
13159,716453,5163,C2
13160,716453,5164,D5
13161,716453,5164,D6
13162,716453,5164,D9
13163,716453,5164,B1
13164,716453,5164,D3
13165,716453,5165,D5
13166,716453,5165,TC
13167,716453,5165,B1
13168,716453,5165,D9
13169,716453,5165,D3
13170,716658,5166,D4
13171,716658,5166,C1
13172,716658,5166,D3
13173,716658,5166,C1
13174,716658,5166,D5
13175,716658,5167,C1
13176,716658,5167,TC
13177,716658,5167,D3
13178,716658,5167,C1
13179,716658,5167,D5
13180,716658,5168,B9
13181,716658,5168,B7
13182,716658,5168,B7
13183,716658,5168,C1
13184,716658,5168,D5
13185,716658,5169,C2
13186,716658,5169,D9
13187,716658,5169,B1
13188,716658,5169,D5
13189,716658,5169,C2
13190,716658,5170,D5
13191,716658,5170,TC
13192,716658,5170,B7
13193,716658,5170,B7
13194,716658,5170,D9
13195,133685,5171,D3
13196,133685,5171,B1
13197,133685,5171,D9
13198,133685,5171,B9
13199,133685,5171,C1
13200,133685,5172,D6
13201,133685,5172,D3
13202,133685,5172,B1
13203,133685,5172,TC
13204,133685,5172,D3
13205,133685,5173,C1
13206,133685,5173,D6
13207,133685,5173,B7
13208,133685,5173,B9
13209,133685,5173,B1
13210,133685,5174,C2
13211,133685,5174,D3
13212,133685,5174,D3
13213,133685,5174,TC
13214,133685,5174,D5
13215,133685,5175,D9
13216,133685,5175,D5
13217,133685,5175,B1
13218,133685,5175,D3
13219,133685,5175,D3
13220,133686,5176,D6
13221,133686,5176,D6
13222,133686,5176,B1
13223,133686,5176,D6
13224,133686,5176,D5
13225,133686,5177,D5
13226,133686,5177,C2
13227,133686,5177,B1
13228,133686,5177,D4
13229,133686,5177,TC
13230,133686,5178,D6
13231,133686,5178,B9
13232,133686,5178,B1
13233,133686,5178,C1
13234,133686,5178,B9
13235,133686,5179,C2
13236,133686,5179,D9
13237,133686,5179,B9
13238,133686,5179,D6
13239,133686,5179,C2
13240,133686,5180,B9
13241,133686,5180,B9
13242,133686,5180,D9
13243,133686,5180,TC
13244,133686,5180,D6
13245,133687,5181,C2
13246,133687,5181,D9
13247,133687,5181,B9
13248,133687,5181,TC
13249,133687,5181,D4
13250,133687,5182,C2
13251,133687,5182,D4
13252,133687,5182,D4
13253,133687,5182,D4
13254,133687,5182,D6
13255,133687,5183,D5
13256,133687,5183,D6
13257,133687,5183,C1
13258,133687,5183,B7
13259,133687,5183,D5
13260,133687,5184,D3
13261,133687,5184,D9
13262,133687,5184,D9
13263,133687,5184,C1
13264,133687,5184,C2
13265,133687,5185,C2
13266,133687,5185,D9
13267,133687,5185,B1
13268,133687,5185,C2
13269,133687,5185,D6
13270,133662,5186,D5
13271,133662,5186,B7
13272,133662,5186,C1
13273,133662,5186,B7
13274,133662,5186,D4
13275,133662,5187,D4
13276,133662,5187,B1
13277,133662,5187,C2
13278,133662,5187,C2
13279,133662,5187,B7
13280,133662,5188,D4
13281,133662,5188,C1
13282,133662,5188,D9
13283,133662,5188,TC
13284,133662,5188,D5
13285,133662,5189,D4
13286,133662,5189,B7
13287,133662,5189,D5
13288,133662,5189,D6
13289,133662,5189,B7
13290,133662,5190,C1
13291,133662,5190,D5
13292,133662,5190,C2
13293,133662,5190,C1
13294,133662,5190,C1
13295,133688,5191,D4
13296,133688,5191,B7
13297,133688,5191,D9
13298,133688,5191,B9
13299,133688,5191,D3
13300,133688,5192,D4
13301,133688,5192,B7
13302,133688,5192,TC
13303,133688,5192,C1
13304,133688,5192,B1
13305,133688,5193,B7
13306,133688,5193,B9
13307,133688,5193,D5
13308,133688,5193,B7
13309,133688,5193,D5
13310,133688,5194,D6
13311,133688,5194,B1
13312,133688,5194,D6
13313,133688,5194,C2
13314,133688,5194,C2
13315,133688,5195,C1
13316,133688,5195,B7
13317,133688,5195,C1
13318,133688,5195,C2
13319,133688,5195,C2
13320,716454,5196,C1
13321,716454,5196,B7
13322,716454,5196,D9
13323,716454,5196,TC
13324,716454,5196,TC
13325,716454,5197,B1
13326,716454,5197,D5
13327,716454,5197,TC
13328,716454,5197,D5
13329,716454,5197,B1
13330,716454,5198,D5
13331,716454,5198,TC
13332,716454,5198,B9
13333,716454,5198,B9
13334,716454,5198,D3
13335,716454,5199,D4
13336,716454,5199,D5
13337,716454,5199,B7
13338,716454,5199,D3
13339,716454,5199,D9
13340,716454,5200,B7
13341,716454,5200,C1
13342,716454,5200,B7
13343,716454,5200,C1
13344,716454,5200,D6
13345,716455,5201,C1
13346,716455,5201,C2
13347,716455,5201,D9
13348,716455,5201,C1
13349,716455,5201,D9
13350,716455,5202,D3
13351,716455,5202,D4
13352,716455,5202,B1
13353,716455,5202,B1
13354,716455,5202,C2
13355,716455,5203,D4
13356,716455,5203,B1
13357,716455,5203,D9
13358,716455,5203,B7
13359,716455,5203,D6
13360,716455,5204,D3
13361,716455,5204,D4
13362,716455,5204,C1
13363,716455,5204,D6
13364,716455,5204,D9
13365,716455,5205,D3
13366,716455,5205,D4
13367,716455,5205,D9
13368,716455,5205,D4
13369,716455,5205,B1
13370,716456,5206,D6
13371,716456,5206,B9
13372,716456,5206,D6
13373,716456,5206,D3
13374,716456,5206,TC
13375,716456,5207,D4
13376,716456,5207,B7
13377,716456,5207,C1
13378,716456,5207,B7
13379,716456,5207,B1
13380,716456,5208,D3
13381,716456,5208,D5
13382,716456,5208,C1
13383,716456,5208,B9
13384,716456,5208,B7
13385,716456,5209,D4
13386,716456,5209,C2
13387,716456,5209,B9
13388,716456,5209,D3
13389,716456,5209,C2
13390,716456,5210,C1
13391,716456,5210,C2
13392,716456,5210,D5
13393,716456,5210,B9
13394,716456,5210,B7
13395,716457,5211,D9
13396,716457,5211,D3
13397,716457,5211,D5
13398,716457,5211,B1
13399,716457,5211,D9
13400,716457,5212,B9
13401,716457,5212,D9
13402,716457,5212,D9
13403,716457,5212,D5
13404,716457,5212,D6
13405,716457,5213,D9
13406,716457,5213,D4
13407,716457,5213,D9
13408,716457,5213,TC
13409,716457,5213,D5
13410,716457,5214,C1
13411,716457,5214,D5
13412,716457,5214,D6
13413,716457,5214,B9
13414,716457,5214,D5
13415,716457,5215,B7
13416,716457,5215,TC
13417,716457,5215,D4
13418,716457,5215,D5
13419,716457,5215,C2
13420,133725,5216,C1
13421,133725,5216,D9
13422,133725,5216,D6
13423,133725,5216,B7
13424,133725,5216,TC
13425,133725,5217,D6
13426,133725,5217,C2
13427,133725,5217,D4
13428,133725,5217,C2
13429,133725,5217,C2
13430,133725,5218,D6
13431,133725,5218,D4
13432,133725,5218,B9
13433,133725,5218,B1
13434,133725,5218,C1
13435,133725,5219,D3
13436,133725,5219,B1
13437,133725,5219,D3
13438,133725,5219,D5
13439,133725,5219,D3
13440,133725,5220,D5
13441,133725,5220,B1
13442,133725,5220,B7
13443,133725,5220,D3
13444,133725,5220,TC
13445,133719,5221,D6
13446,133719,5221,C2
13447,133719,5221,B9
13448,133719,5221,D6
13449,133719,5221,D4
13450,133719,5222,D6
13451,133719,5222,C2
13452,133719,5222,B7
13453,133719,5222,TC
13454,133719,5222,C2
13455,133719,5223,B7
13456,133719,5223,D5
13457,133719,5223,B7
13458,133719,5223,B9
13459,133719,5223,B7
13460,133719,5224,D4
13461,133719,5224,C2
13462,133719,5224,D3
13463,133719,5224,D9
13464,133719,5224,D6
13465,133719,5225,D9
13466,133719,5225,TC
13467,133719,5225,D9
13468,133719,5225,D5
13469,133719,5225,D5
13470,131557,5226,C2
13471,131557,5226,C1
13472,131557,5226,D4
13473,131557,5226,D9
13474,131557,5226,D5
13475,131557,5227,C2
13476,131557,5227,C2
13477,131557,5227,B9
13478,131557,5227,D4
13479,131557,5227,D9
13480,131557,5228,B7
13481,131557,5228,B1
13482,131557,5228,D4
13483,131557,5228,D4
13484,131557,5228,C2
13485,131557,5229,C1
13486,131557,5229,D3
13487,131557,5229,D6
13488,131557,5229,C1
13489,131557,5229,D3
13490,131557,5230,C2
13491,131557,5230,C1
13492,131557,5230,C2
13493,131557,5230,D5
13494,131557,5230,D4
13495,716448,5231,D9
13496,716448,5231,D9
13497,716448,5231,D3
13498,716448,5231,D5
13499,716448,5231,C1
13500,716448,5232,C1
13501,716448,5232,D4
13502,716448,5232,D6
13503,716448,5232,B9
13504,716448,5232,D4
13505,716448,5233,D5
13506,716448,5233,C1
13507,716448,5233,D3
